File,anti-COVID19 mask,balaclava,scarf,other cloth,hair,handkerchief,hands,beard,glasses,head covering,other masking,COVID-19 correct
face0.png,0,0,0,0,1,0,0,0,0,0,0,0
face1.png,0,0,0,0,1,0,0,0,0,0,0,0
face2.png,0,0,0,0,0,0,0,0,0,0,0,0
face3.png,0,0,0,0,0,0,0,0,0,1,1,0
face4.png,0,0,0,0,1,0,0,0,0,0,0,0
face5.png,0,0,0,0,0,0,0,0,0,0,0,0
face6.png,0,0,0,0,0,0,0,0,0,0,0,0
face7.png,0,0,0,0,0,0,0,0,1,0,0,0
face8.png,0,0,0,0,0,0,0,0,0,0,0,0
face9.png,0,0,0,0,0,0,0,0,0,0,0,0
face10.png,0,0,0,0,0,0,0,0,0,0,0,0
face11.png,0,0,0,0,0,0,0,1,0,0,0,0
face12.png,0,0,0,0,0,0,0,0,0,0,1,0
face13.png,0,0,0,0,0,0,0,0,0,0,0,0
face14.png,0,0,0,0,0,0,0,0,0,0,0,0
face16.png,0,0,0,0,0,0,0,0,0,0,0,0
face17.png,0,0,0,0,0,0,0,0,0,0,0,0
face18.png,0,0,0,0,0,0,0,0,0,0,0,0
face19.png,0,0,0,0,0,0,0,1,1,0,0,0
face20.png,0,0,0,0,0,0,0,0,0,1,0,0
face21.png,0,0,0,0,0,0,0,0,0,1,0,0
face22.png,0,0,0,0,0,0,1,0,0,1,0,0
face23.png,0,0,0,0,0,0,0,0,0,0,0,0
face24.png,0,0,0,0,0,0,0,1,1,0,0,0
face25.png,0,0,0,0,0,0,0,1,1,0,0,0
face26.png,0,0,0,0,0,0,0,0,0,0,0,0
face27.png,0,0,0,0,0,0,0,0,0,0,0,0
face28.png,0,0,0,0,0,0,0,0,0,0,0,0
face29.png,0,0,0,0,1,0,0,0,1,0,0,0
face30.png,0,0,0,0,0,0,0,0,1,0,0,0
face31.png,0,0,0,0,0,0,0,0,0,1,0,0
face33.png,0,0,0,0,0,0,0,0,0,0,1,0
face34.png,0,0,0,0,1,0,0,0,1,0,0,0
face35.png,0,0,0,0,0,0,0,0,1,0,0,0
face36.png,0,0,0,0,0,0,0,0,1,0,1,0
face37.png,0,0,0,0,0,0,0,0,0,0,0,0
face38.png,0,0,0,1,0,0,0,0,0,1,0,0
face39.png,0,0,0,0,0,0,0,0,1,0,0,0
face40.png,0,0,0,0,1,0,0,0,0,0,0,0
face42.png,0,0,0,0,1,0,0,0,0,0,0,0
face43.png,0,0,0,0,0,0,0,0,1,0,0,0
face45.png,0,0,0,0,0,0,0,0,1,0,0,0
face46.png,0,0,0,0,0,0,0,0,0,0,1,0
face47.png,0,0,0,0,0,0,0,0,0,1,0,0
face49.png,0,0,0,0,0,0,0,0,1,0,0,0
face50.png,0,0,0,0,0,0,0,0,0,0,1,0
face51.png,0,0,0,1,0,0,0,0,1,0,0,0
face53.png,0,0,0,0,0,0,0,0,0,0,0,0
face54.png,0,0,0,0,1,0,0,1,0,0,0,0
face55.png,0,0,0,0,0,0,0,0,0,0,0,0
face56.png,0,0,0,0,0,0,0,1,1,0,0,0
face57.png,0,0,0,0,0,0,1,0,0,0,0,0
face58.png,0,0,0,0,0,0,0,0,0,0,0,0
face59.png,0,0,0,0,0,0,0,0,0,0,0,0
face60.png,0,0,0,0,1,0,0,0,0,0,0,0
face61.png,0,0,0,0,0,0,0,0,0,0,0,0
face62.png,0,0,0,0,0,0,0,0,1,0,0,0
face63.png,0,0,0,0,0,0,0,0,1,0,0,0
face64.png,0,0,0,0,0,0,0,0,0,0,0,0
face65.png,0,0,0,0,0,0,0,0,1,0,0,0
face66.png,0,0,0,0,0,0,0,1,1,0,0,0
face67.png,0,0,0,0,0,0,0,1,1,0,0,0
face68.png,0,0,0,0,1,0,0,0,0,0,0,0
face69.png,0,0,0,0,0,0,0,1,1,0,0,0
face70.png,0,0,0,0,0,0,0,0,0,0,0,0
face71.png,0,0,0,0,0,0,0,0,0,0,0,0
face72.png,0,0,0,0,0,0,0,0,1,0,0,0
face73.png,0,0,0,0,0,0,0,1,1,0,0,0
