img_name,silh_x1,silh_y1,silh_x2,silh_y2,faceimg_name,face_x1,face_y1,face_x2,face_y2
13_Interview_Interview_2_People_Visible_13_1013.jpg,14,6,406,684,face0.png,149,85,303,281
13_Interview_Interview_2_People_Visible_13_1013.jpg,369,173,864,683,face1.png,542,220,717,446
13_Interview_Interview_2_People_Visible_13_102.jpg,277,85,937,660,face2.png,454,147,607,367
13_Interview_Interview_2_People_Visible_13_102.jpg,576,112,1020,665,face2.png,454,147,607,367
13_Interview_Interview_2_People_Visible_13_105.jpg,183,0,970,677,face3.png,420,47,659,399
13_Interview_Interview_2_People_Visible_13_105.jpg,0,36,477,626,face3.png,420,47,659,399
13_Interview_Interview_2_People_Visible_13_132.jpg,29,31,455,457,face4.png,204,62,350,286
13_Interview_Interview_2_People_Visible_13_132.jpg,334,20,697,453,face4.png,204,62,350,286
13_Interview_Interview_2_People_Visible_13_132.jpg,29,31,455,457,face5.png,378,44,492,250
13_Interview_Interview_2_People_Visible_13_132.jpg,334,20,697,453,face5.png,378,44,492,250
13_Interview_Interview_2_People_Visible_13_144.jpg,20,13,677,761,face6.png,355,0,870,711
13_Interview_Interview_2_People_Visible_13_144.jpg,651,19,1010,762,face6.png,355,0,870,711
13_Interview_Interview_2_People_Visible_13_155.jpg,0,49,961,1023,face7.png,363,176,688,657
13_Interview_Interview_2_People_Visible_13_167.jpg,291,49,977,554,face8.png,562,80,643,186
13_Interview_Interview_2_People_Visible_13_167.jpg,26,94,429,553,face9.png,120,133,213,248
13_Interview_Interview_2_People_Visible_13_170.jpg,195,53,847,569,face10.png,443,92,625,354
13_Interview_Interview_2_People_Visible_13_182.jpg,239,88,784,574,face11.png,406,132,580,390
13_Interview_Interview_2_People_Visible_13_186.jpg,275,67,899,646,face12.png,512,157,687,402
13_Interview_Interview_2_People_Visible_13_196.jpg,181,76,649,511,face13.png,354,193,547,461
13_Interview_Interview_2_People_Visible_13_196.jpg,662,74,992,466,face14.png,776,66,874,184
13_Interview_Interview_2_People_Visible_13_196.jpg,181,76,649,511,face15.png,215,81,341,186
13_Interview_Interview_2_People_Visible_13_204.jpg,187,40,764,598,face16.png,448,140,586,350
13_Interview_Interview_2_People_Visible_13_22.jpg,365,54,973,569,face17.png,680,107,759,256
13_Interview_Interview_2_People_Visible_13_22.jpg,0,98,332,574,face18.png,190,120,279,235
13_Interview_Interview_2_People_Visible_13_222.jpg,0,158,1008,755,face19.png,321,220,625,620
13_Interview_Interview_2_People_Visible_13_222.jpg,615,269,1015,743,face19.png,321,220,625,620
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face20.png,395,123,615,471
13_Interview_Interview_2_People_Visible_13_230.jpg,748,294,1023,734,face21.png,781,330,876,461
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face21.png,781,330,876,461
13_Interview_Interview_2_People_Visible_13_230.jpg,25,61,995,1009,face22.png,139,420,209,528
13_Interview_Interview_2_People_Visible_13_230.jpg,22,392,220,686,face22.png,139,420,209,528
13_Interview_Interview_2_People_Visible_13_237.jpg,363,128,837,680,face23.png,539,156,643,313
13_Interview_Interview_2_People_Visible_13_240.jpg,90,138,388,558,face24.png,218,183,293,272
13_Interview_Interview_2_People_Visible_13_240.jpg,645,170,983,559,face25.png,716,182,781,274
13_Interview_Interview_2_People_Visible_13_241.jpg,266,16,753,570,face26.png,424,101,553,290
13_Interview_Interview_2_People_Visible_13_258.jpg,11,35,644,584,face27.png,114,101,370,426
13_Interview_Interview_2_People_Visible_13_258.jpg,444,167,995,581,face28.png,514,215,787,555
13_Interview_Interview_2_People_Visible_13_258.jpg,11,35,644,584,face28.png,514,215,787,555
13_Interview_Interview_2_People_Visible_13_262.jpg,2,362,234,756,face29.png,181,305,238,370
13_Interview_Interview_2_People_Visible_13_262.jpg,132,276,284,526,face29.png,181,305,238,370
13_Interview_Interview_2_People_Visible_13_262.jpg,130,191,235,334,face29.png,181,305,238,370
13_Interview_Interview_2_People_Visible_13_262.jpg,237,246,301,378,face29.png,181,305,238,370
13_Interview_Interview_2_People_Visible_13_262.jpg,697,332,832,492,face30.png,826,284,870,337
13_Interview_Interview_2_People_Visible_13_262.jpg,697,332,832,492,face31.png,698,312,731,346
13_Interview_Interview_2_People_Visible_13_262.jpg,604,340,717,494,face31.png,698,312,731,346
13_Interview_Interview_2_People_Visible_13_262.jpg,575,337,712,582,face31.png,698,312,731,346
13_Interview_Interview_2_People_Visible_13_262.jpg,252,317,563,581,face32.png,530,309,570,356
13_Interview_Interview_2_People_Visible_13_262.jpg,439,307,595,598,face32.png,530,309,570,356
13_Interview_Interview_2_People_Visible_13_262.jpg,521,301,560,359,face32.png,530,309,570,356
13_Interview_Interview_2_People_Visible_13_262.jpg,532,307,607,406,face32.png,530,309,570,356
13_Interview_Interview_2_People_Visible_13_262.jpg,604,340,717,494,face34.png,615,353,661,398
13_Interview_Interview_2_People_Visible_13_262.jpg,575,337,712,582,face34.png,615,353,661,398
13_Interview_Interview_2_People_Visible_13_262.jpg,130,191,235,334,face35.png,156,202,190,242
13_Interview_Interview_2_People_Visible_13_262.jpg,252,317,563,581,face36.png,358,280,406,330
13_Interview_Interview_2_People_Visible_13_262.jpg,332,264,408,388,face36.png,358,280,406,330
13_Interview_Interview_2_People_Visible_13_262.jpg,697,332,832,492,face37.png,724,352,764,403
13_Interview_Interview_2_People_Visible_13_262.jpg,2,362,234,756,face38.png,107,317,143,367
13_Interview_Interview_2_People_Visible_13_262.jpg,132,276,284,526,face38.png,107,317,143,367
13_Interview_Interview_2_People_Visible_13_262.jpg,130,191,235,334,face38.png,107,317,143,367
13_Interview_Interview_2_People_Visible_13_262.jpg,697,332,832,492,face40.png,765,335,800,377
13_Interview_Interview_2_People_Visible_13_262.jpg,794,353,875,479,face40.png,765,335,800,377
13_Interview_Interview_2_People_Visible_13_262.jpg,132,276,284,526,face41.png,262,324,322,390
13_Interview_Interview_2_People_Visible_13_262.jpg,252,317,563,581,face41.png,262,324,322,390
13_Interview_Interview_2_People_Visible_13_262.jpg,272,338,341,443,face41.png,262,324,322,390
13_Interview_Interview_2_People_Visible_13_262.jpg,237,246,301,378,face41.png,262,324,322,390
13_Interview_Interview_2_People_Visible_13_262.jpg,851,369,992,485,face42.png,805,359,854,410
13_Interview_Interview_2_People_Visible_13_262.jpg,697,332,832,492,face42.png,805,359,854,410
13_Interview_Interview_2_People_Visible_13_262.jpg,794,353,875,479,face42.png,805,359,854,410
13_Interview_Interview_2_People_Visible_13_262.jpg,851,369,992,485,face43.png,886,374,929,424
13_Interview_Interview_2_People_Visible_13_262.jpg,2,362,234,756,face44.png,0,253,75,364
13_Interview_Interview_2_People_Visible_13_262.jpg,2,245,83,357,face44.png,0,253,75,364
13_Interview_Interview_2_People_Visible_13_262.jpg,252,317,563,581,face46.png,438,331,499,396
13_Interview_Interview_2_People_Visible_13_262.jpg,439,307,595,598,face46.png,438,331,499,396
13_Interview_Interview_2_People_Visible_13_262.jpg,252,317,563,581,face47.png,551,308,600,358
13_Interview_Interview_2_People_Visible_13_262.jpg,439,307,595,598,face47.png,551,308,600,358
13_Interview_Interview_2_People_Visible_13_262.jpg,575,337,712,582,face47.png,551,308,600,358
13_Interview_Interview_2_People_Visible_13_262.jpg,521,301,560,359,face47.png,551,308,600,358
13_Interview_Interview_2_People_Visible_13_262.jpg,532,307,607,406,face47.png,551,308,600,358
